estimator,experiment,scenario,vehicle,sigma_a,tdma_interval,init_range_scale,packet_loss_prob,run_idx,rmse,ate,final_error,mean_nees,converged
ESKF,exp1,bearing-only,ROV,0.005,,,,0,3.9499063779355295,3.9499063779355295,2.1821256942821243,1.7640490052468927,True
ESKF,exp1,bearing-only,ASV,0.005,,,,0,1.273874340793982,1.273874340793982,1.239217223348542,2.330681330127901,True
ESKF,exp1,bearing-only,ROV,0.01,,,,0,3.223106168722343,3.223106168722343,1.683885406137093,1.3143779110986598,True
ESKF,exp1,bearing-only,ASV,0.01,,,,0,1.3979450006094776,1.3979450006094776,0.9504812138579132,2.7710695732275235,True
ESKF,exp1,bearing-only,ROV,0.02,,,,0,9.193567196153184,9.193567196153184,15.28360062328699,1.6535339367535375,False
ESKF,exp1,bearing-only,ASV,0.02,,,,0,1.3449974234079605,1.3449974234079605,2.404942056094326,2.4779787574765075,True
ESKF,exp1,bearing-only,ROV,0.05,,,,0,21.116167498295614,21.116167498295614,45.46711560985405,1.5990747463762078,False
ESKF,exp1,bearing-only,ASV,0.05,,,,0,1.3368735869405814,1.3368735869405814,0.6219840673766317,2.635653308776685,True
ESKF,exp1,bearing-only,ROV,0.1,,,,0,47.29803918181772,47.29803918181772,131.09903928609918,2.1629577640679494,False
ESKF,exp1,bearing-only,ASV,0.1,,,,0,1.3726462841180067,1.3726462841180067,0.9172763999045199,2.6213799180266366,True
ESKF,exp1,bearing-only,ROV,0.5,,,,0,895.4587503802459,895.4587503802459,1926.2936693966974,20.380234274248743,False
ESKF,exp1,bearing-only,ASV,0.5,,,,0,1.418151799174189,1.418151799174189,1.6444556257550798,2.812477793890941,True
ESKF,exp1,bearing-only,ROV,1.0,,,,0,1689.3033787105123,1689.3033787105123,3616.3344616393742,22.878195031810517,False
ESKF,exp1,bearing-only,ASV,1.0,,,,0,1.4517658011917463,1.4517658011917463,1.9418500058747457,3.1249811160203653,True
